payer_id,vyne_payer_id,insurance_name,features,alt_ids
23166,DD_PENNSYLVANIA,Delta Dental of Pennsylvania,"ELIGIBILITY
CLEARCOVERAGE","DDPA1
23166T1
TLU51
TLX23
00008"
29076,MMO,Medical Mutual of Ohio (MMO),ELIGIBILITY,"CB833
TLU03"
31096,DD_WEST_VIRGINIA,Delta Dental of West Virginia,"ELIGIBILITY
CLEARCOVERAGE",
34192,MUTUAL_HEALTH_SERVICES,Mutual Health Services,ELIGIBILITY,
36088,RELIANCE_STANDARD_LIFE,Reliance Standard Life,ELIGIBILITY,
37242,37242,Aultra Administrative Group,ELIGIBILITY,DX231
38520,BCBS_SOUTH_CAROLINA,Blue Cross Blue Shield of South Carolina,ELIGIBILITY,"BSC01
TLW74
BCSSC
DXSCF
BCBS_SOUTH_CAROLINA_FEP"
39026,UMR_WAUSAU,UMR_GEHA,ELIGIBILITY,"UNITED_MEDICAL_RESOURCES
UMR_SAN_ANTONIO
UMR_HARRINGTON
33108
74223
95266
75196
75245
87265
52132"
39069,DD_WI,Delta Dental of Wisconsin,"ELIGIBILITY
CLEARCOVERAGE",39033
39141,BCBS_WISCONSIN,Blue Cross Blue Shield of Wisconsin,ELIGIBILITY,"ANTHEM_BCBS_WISCONSIN_FEP
P-DBC
BWI01
00950
TCX01
CB950
AD450
00450"
43090,DD_MISSOURI,Delta Dental of Missouri,ELIGIBILITY,"25125
TFQ69
TLW06"
43091,DELTA_DENTAL_SOUTH_CAROLINA,Delta Dental of South Carolina,ELIGIBILITY,
43471,43471,Benefit Management / Inetico,ELIGIBILITY,
44054,GEHA,GEHA Employee Program,ELIGIBILITY,
46278,46278,Centene Dental / Envolve,ELIGIBILITY,
47009,AMERITAS,Ameritas Life Insurance Company,"ELIGIBILITY
CLEARCOVERAGE","CX032
CX047
61492
61301"
47163,BCBS_KANSAS,Blue Cross Blue Shield of Kansas,ELIGIBILITY,CBKS1
47171,BCBS_KANSAS_CITY_MO,Blue Cross Blue Shield of Kansas City,ELIGIBILITY,DX067
47198,ANTHEM_BCBS_CALIFORNIA,Blue Cross of California (Wellpoint),ELIGIBILITY,"TRIGON_BCBS_VIRGINIA
TRIGON_BCBS_COLORADO
84103"
47570,BCBS_ALASKA,Blue Cross Blue Shield of Alaska (Premera),ELIGIBILITY,"BCBS_WASHINGTON
47570T3
47570T2
47570T1
00430
DX102"
47598,DD_ILLINOIS_GROUP_PLANS,Delta Dental of Illinois Group Plans,"ELIGIBILITY
CLEARCOVERAGE","05030
MW150
P-MOE
TLY40
PIP02
PIP01"
50503,ALTUS,Altus Dental,ELIGIBILITY,
51022,DD_DELAWARE,Delta Dental of Delaware,"ELIGIBILITY
CLEARCOVERAGE",
52133,UNITED_HEALTHCARE,United Healthcare Dental,"ELIGIBILITY
CLEARCOVERAGE","PACIFICARE
BLUE_SHIELD_CALIFORNIA
CX060
CX053
BSCA1
5213
CX056
CX057
37060
94036
CX001
UHC01
52133T1
52133T3
52133T2
TPC06
TLW58
TLX81
TLW59
TLW68
TLX06
TBS03
TLW57
87726
TLU44"
52147,DD_WASHINGTON_DC,Delta Dental of District of Columbia (DC),"ELIGIBILITY
CLEARCOVERAGE",
54097,54097,Delta Dental of South Dakota,ELIGIBILITY,"CKSD1
TLZ29"
55093,55093,Blue Cross Blue Shield of New York (Empire),ELIGIBILITY,CBNY1
56101,DD_NORTH_CAROLINA,Delta Dental of North Carolina,"ELIGIBILITY
CLEARCOVERAGE","56010
DDPNC
DDNC
DDNC1"
58066,AFLAC_GA,AFLAC of Georgia,ELIGIBILITY,
60033,AMERITAS_NEW_YORK,FIRST AMERITAS LIFE INSURANCE CORPORATION OF NY,ELIGIBILITY,72630
60054,AETNA_DENTAL_PLANS,AETNA,"ELIGIBILITY
CLEARCOVERAGE","68246
6005
68241
57604
6824
60054T2
60054T1
60054T17
60054T10
60054T9
60054T8
60054T7
60054T6
60054T5
60054T4
60054T3
60054T16
60054T15
60054T14
60054T13
60054T12
60054T11
953402799
18014"
61271,PRINCIPAL,Principal Financial Group,"ELIGIBILITY
CLEARCOVERAGE",61271T1
62308,CIGNA,Cigna,"ELIGIBILITY
CLEARCOVERAGE","UFT_WELFARE_FUND
HEALTHSOURCE_PROVIDENT
CONNECTICUT_GENERAL_CIGNA
80840
TLX70
62308T2
62308T1
10050
CIGN1
TLX24
TLU64
71056
68195
CHLIC
CGHMO"
64246,GUARDIAN,Guardian Life Insurance Co,"ELIGIBILITY
CLEARCOVERAGE","DENTAL_GUARD_PREFERRED
TLZ41"
65030,MCNA,Managed Care of North America (MCNA),ELIGIBILITY,"MCNA2
CKLA1
CKLA2"
65358,65358,Blue Cross Blue Shield of Connecticut,ELIGIBILITY,AD060
